,FlightDate,Carrier,Origin,Dest,Distance,DistanceGroup
13773,2017-09-27,OO,DSM,DEN,589.0,3
8954,2017-09-27,DL,CHA,ATL,106.0,1
14550,2017-09-21,OO,PIA,ORD,130.0,1
3370,2017-09-01,AA,BOS,MIA,1258.0,6
4426,2017-09-05,OO,DEN,MOT,604.0,3
15151,2017-09-04,WN,LAS,ABQ,486.0,2
16158,2017-09-01,UA,HNL,LAX,2556.0,11
7594,2017-09-13,DL,MSP,LAX,1535.0,7
18377,2017-09-24,EV,BNA,ORD,409.0,2
9234,2017-09-17,WN,SMF,PDX,479.0,2
15896,2017-09-19,DL,ATL,GRR,640.0,3
19359,2017-09-01,AA,JFK,MIA,1089.0,5
18468,2017-09-17,AA,JFK,LAX,2475.0,10
13248,2017-09-12,UA,SFO,HNL,2398.0,10
386,2017-09-12,WN,LAS,SLC,368.0,2
12388,2017-09-22,HA,LIH,HNL,102.0,1
9259,2017-09-07,AA,PHX,LAS,255.0,2
898,2017-09-04,OO,COS,LAX,833.0,4
13902,2017-09-29,AA,AUS,CLT,1032.0,5
11192,2017-09-10,OO,DEN,IDA,458.0,2
5652,2017-09-17,OO,DEN,RDM,898.0,4
6869,2017-09-13,OO,ORD,SBN,84.0,1
11322,2017-09-25,AA,RIC,DFW,1158.0,5
9931,2017-09-29,AA,DFW,MEM,431.0,2
10829,2017-09-06,AA,LGA,DFW,1389.0,6
16851,2017-09-12,WN,TUS,MDW,1440.0,6
4260,2017-09-10,WN,TPA,MDW,997.0,4
7579,2017-09-24,AS,ANC,SEA,1448.0,6
9285,2017-09-14,UA,EWR,SJU,1608.0,7
12038,2017-09-21,DL,MKE,ATL,669.0,3
7994,2017-09-07,WN,HOU,MCO,849.0,4
2615,2017-09-27,WN,SNA,OAK,371.0,2
16577,2017-09-17,DL,BNA,LAX,1797.0,8
10726,2017-09-14,AA,DFW,DCA,1192.0,5
6719,2017-09-11,EV,IAH,DTW,1075.0,5
6608,2017-09-26,DL,SFO,LAX,337.0,2
3239,2017-09-01,AA,DFW,DEN,641.0,3
7706,2017-09-22,UA,DCA,ORD,612.0,3
2079,2017-09-27,WN,BUF,MDW,468.0,2
6254,2017-09-13,EV,SHV,DFW,190.0,1
9509,2017-09-27,DL,BHM,ATL,134.0,1
5816,2017-09-03,F9,AUS,LAS,1090.0,5
17427,2017-09-11,OO,DLH,MSP,144.0,1
13532,2017-09-06,NK,MSY,BWI,998.0,4
3533,2017-09-06,WN,DEN,MDW,895.0,4
6647,2017-09-18,F9,MCO,ISP,971.0,4
9852,2017-09-08,AA,PHX,LAS,255.0,2
4825,2017-09-30,OO,DEN,LIT,771.0,4
10764,2017-09-30,OO,AUS,ORD,977.0,4
10115,2017-09-25,DL,MSP,LGA,1020.0,5
8564,2017-09-02,WN,DAL,OKC,181.0,1
8714,2017-09-07,UA,SFO,IND,1943.0,8
14261,2017-09-21,AA,IND,PHX,1488.0,6
17646,2017-09-17,AA,DFW,VPS,641.0,3
5025,2017-09-18,OO,BOI,ORD,1437.0,6
17977,2017-09-07,OO,DSM,SLC,955.0,4
2096,2017-09-25,WN,MSY,MDW,825.0,4
16797,2017-09-28,UA,DFW,EWR,1372.0,6
3098,2017-09-22,WN,BUF,BWI,281.0,2
