Origin Airport,Origin Airport Name,Origin City Name,Origin Country Name,Origin Region Name,Destination Airport,Destination Airport Name,Destination City Name,Destination Country Name,Destination Region Name,Marketing Airline,Operating Airline,Marketing Airline Name,Operating Airline Name,Code Share,Fleet,Manufacturer,Flight No,Effective Date,Discontinued Date,Departure Time,Arrival Time,Duration,Departure Terminal,Arrival Terminal,Restricted Code,Frequency,Schedule Type,DepCount,Operating Airline   Capacity,Operating Airline   ASM(Nautical)(Millions),Distance
FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,SIN,CHANGI AIRPORT,SINGAPORE,SINGAPORE,SOUTHEAST ASIA,SQ,LH,Singapore Airlines Limited,Deutsche Lufthansa AG,YES,343,AIRBUS,2001,20001101,20001130,20:50,16:05,735,1,2, , 1-3-5-- ,AIR,3,,,5566.0
SYD,KINGSFORD SMITH AIRPORT,SYDNEY,AUSTRALIA,AUSTRALIA,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,AA,QF,American Airlines,Qantas Airways Ltd.,YES,744,BOEING,7361,20001106,20001106,20:35,15:35,840,I,B, , 1------ ,AIR,1,,,6536.0
FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,KIX,KANSAI INTERNATIONAL AIRPORT,OSAKA,JAPAN,FAR EAST ASIA,NH,LH,All Nippon Airways Co. Ltd.,Deutsche Lufthansa AG,YES,744,BOEING,6006,20001101,20001130,13:40,8:30,650,1,, , 1---5-7 ,AIR,3,,,5014.0
VIE,VIENNA INTERNATIONAL AIRPORT,VIENNA,AUSTRIA,WESTERN EUROPE,KUL,KUALA LUMPUR INTERNATIONAL AIRPORT,KUALA LUMPUR,MALAYSIA,SOUTHEAST ASIA,MH,NG,Malaysia Airlines Berhad,LAUDA AIR LUFTFAHRT AG,YES,772,BOEING,9007,20001102,20001130,10:35,3:40,605,,, , ---4--- ,AIR,1,,,5103.0
SFO,SAN FRANCISCO INTERNATIONAL AIRPORT,SAN FRANCISCO,UNITED STATES,NORTH AMERICA,MXP,MALPENSA AIRPORT,MILAN,ITALY,WESTERN EUROPE,NW,RD,NORTHWEST AIRLINES INC.,RYAN INTERNATIONAL AIRLINES,YES,763,BOEING,8925,20001101,20001130,15:45,12:15,690,I,1, , 1-3456- ,AIR,5,,,5167.0
FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,SIN,CHANGI AIRPORT,SINGAPORE,SINGAPORE,SOUTHEAST ASIA,NZ,LH,Air New Zealand Limited,Deutsche Lufthansa AG,YES,744,BOEING,4578,20001101,20001130,22:15,16:55,700,1,2,Q,1234567,AIR,7,,,5566.0
VIE,VIENNA INTERNATIONAL AIRPORT,VIENNA,AUSTRIA,WESTERN EUROPE,KUL,KUALA LUMPUR INTERNATIONAL AIRPORT,KUALA LUMPUR,MALAYSIA,SOUTHEAST ASIA,OS,NG,Austrian Airlines AG dba Austrian,LAUDA AIR LUFTFAHRT AG,YES,777,BOEING,561,20001101,20001130,13:30,7:20,650,,,Y, -2----7 ,AIR,2,,,5103.0
VIE,VIENNA INTERNATIONAL AIRPORT,VIENNA,AUSTRIA,WESTERN EUROPE,KUL,KUALA LUMPUR INTERNATIONAL AIRPORT,KUALA LUMPUR,MALAYSIA,SOUTHEAST ASIA,MH,NG,Malaysia Airlines Berhad,LAUDA AIR LUFTFAHRT AG,YES,772,BOEING,9007,20001101,20001130,13:45,7:10,625,,, , -2----7 ,AIR,2,,,5103.0
SYD,KINGSFORD SMITH AIRPORT,SYDNEY,AUSTRALIA,AUSTRALIA,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,AN,UA,"Advanced Air, LLC","United Airlines, Inc.",YES,744,BOEING,8816,20001101,20001130,14:50,9:15,805,I,6, ,1234567,AIR,7,,,6536.0
SFO,SAN FRANCISCO INTERNATIONAL AIRPORT,SAN FRANCISCO,UNITED STATES,NORTH AMERICA,TPE,TAIWAN TAOYUAN INTERNATIONAL AIRPORT,TAIPEI,TAIWAN,FAR EAST ASIA,TG,UA,Thai Airways International Public Company Ltd,"United Airlines, Inc.",YES,744,BOEING,5635,20001101,20001130,14:15,20:10,835,I,1,Y,1234567,AIR,7,,,5617.0
